value,wm_yr_wk,wday,mes,anio,snap_CA,snap_TX,sell_price,dept_id,week,dia
13,11101,1,1,2011,0,0,0.46,1,4,25
15,11101,2,1,2011,0,0,0.46,1,4,30
0,11101,3,1,2011,0,0,0.46,1,5,31
0,11101,4,2,2011,1,1,0.46,1,5,1
0,11101,5,2,2011,1,0,0.46,1,5,2
4,11101,6,2,2011,1,1,0.46,1,5,3
6,11101,7,2,2011,1,0,0.46,1,5,4
2,11101,1,1,2011,0,0,1.56,1,4,29
0,11101,2,1,2011,0,0,1.56,1,4,30
7,11101,3,1,2011,0,0,1.56,1,5,31
3,11101,4,2,2011,1,1,1.56,1,5,1
0,11101,5,2,2011,1,0,1.56,1,5,2
2,11101,6,2,2011,1,1,1.56,1,5,3
3,11101,7,2,2011,1,0,1.56,1,5,4
0,11101,1,1,2011,0,0,3.17,1,4,29
0,11101,2,1,2011,0,0,3.17,1,4,30
1,11101,3,1,2011,0,0,3.17,1,5,31
0,11101,4,2,2011,1,1,3.17,1,5,1
0,11101,5,2,2011,1,0,3.17,1,5,2
0,11101,6,2,2011,1,1,3.17,1,5,3
0,11101,7,2,2011,1,0,3.17,1,5,4
0,11101,1,1,2011,0,0,5.98,1,4,29
2,11101,2,1,2011,0,0,5.98,1,4,30
0,11101,3,1,2011,0,0,5.98,1,5,31
0,11101,4,2,2011,1,1,5.98,1,5,1
0,11101,5,2,2011,1,0,5.98,1,5,2
0,11101,6,2,2011,1,1,5.98,1,5,3
0,11101,7,2,2011,1,0,5.98,1,5,4
4,11101,1,1,2011,0,0,0.7,1,4,29
0,11101,2,1,2011,0,0,0.7,1,4,30
0,11101,3,1,2011,0,0,0.7,1,5,31
5,11101,4,2,2011,1,1,0.7,1,5,1
0,11101,5,2,2011,1,0,0.7,1,5,2
0,11101,6,2,2011,1,1,0.7,1,5,3
0,11101,7,2,2011,1,0,0.7,1,5,4
5,11101,1,1,2011,0,0,0.7,1,4,29
1,11101,2,1,2011,0,0,0.7,1,4,30
3,11101,3,1,2011,0,0,0.7,1,5,31
0,11101,4,2,2011,1,1,0.7,1,5,1
15,11101,5,2,2011,1,0,0.7,1,5,2
32,11101,6,2,2011,1,1,0.7,1,5,3
1,11101,7,2,2011,1,0,0.7,1,5,4
2,11101,1,1,2011,0,0,6.86,1,4,29
1,11101,2,1,2011,0,0,6.86,1,4,30
1,11101,3,1,2011,0,0,6.86,1,5,31
1,11101,4,2,2011,1,1,6.86,1,5,1
0,11101,5,2,2011,1,0,6.86,1,5,2
0,11101,6,2,2011,1,1,6.86,1,5,3
1,11101,7,2,2011,1,0,6.86,1,5,4
2,11101,1,1,2011,0,0,3.44,1,4,29
1,11101,2,1,2011,0,0,3.44,1,4,30
0,11101,3,1,2011,0,0,3.44,1,5,31
0,11101,4,2,2011,1,1,3.44,1,5,1
2,11101,5,2,2011,1,0,3.44,1,5,2
1,11101,6,2,2011,1,1,3.44,1,5,3
3,11101,7,2,2011,1,0,3.44,1,5,4
0,11101,1,1,2011,0,0,6.67,1,4,29
0,11101,2,1,2011,0,0,6.67,1,4,30
0,11101,3,1,2011,0,0,6.67,1,5,31
0,11101,4,2,2011,1,1,6.67,1,5,1
1,11101,5,2,2011,1,0,6.67,1,5,2
2,11101,6,2,2011,1,1,6.67,1,5,3
1,11101,7,2,2011,1,0,6.67,1,5,4
2,11101,1,1,2011,0,0,7.44,1,4,29
0,11101,2,1,2011,0,0,7.44,1,4,30
3,11101,3,1,2011,0,0,7.44,1,5,31
0,11101,4,2,2011,1,1,7.44,1,5,1
0,11101,5,2,2011,1,0,7.44,1,5,2
2,11101,6,2,2011,1,1,7.44,1,5,3
2,11101,7,2,2011,1,0,7.44,1,5,4
9,11101,1,1,2011,0,0,0.47,1,4,29
0,11101,2,1,2011,0,0,0.47,1,4,30
5,11101,3,1,2011,0,0,0.47,1,5,31
16,11101,4,2,2011,1,1,0.47,1,5,1
8,11101,5,2,2011,1,0,0.47,1,5,2
9,11101,6,2,2011,1,1,0.47,1,5,3
26,11101,7,2,2011,1,0,0.47,1,5,4
2,11101,1,1,2011,0,0,0.96,1,4,29
1,11101,2,1,2011,0,0,0.96,1,4,30
0,11101,3,1,2011,0,0,0.96,1,5,31
0,11101,4,2,2011,1,1,0.96,1,5,1
0,11101,5,2,2011,1,0,0.96,1,5,2
0,11101,6,2,2011,1,1,0.96,1,5,3
0,11101,7,2,2011,1,0,0.96,1,5,4
1,11101,2,1,2011,0,0,3.17,1,4,30
1,11101,4,2,2011,1,1,3.17,1,5,1
1,11101,7,2,2011,1,0,3.17,1,5,4
3,11101,1,1,2011,0,0,1.51,1,4,29
3,11101,2,1,2011,0,0,1.51,1,4,30
2,11101,3,1,2011,0,0,1.51,1,5,31
1,11101,4,2,2011,1,1,1.51,1,5,1
1,11101,5,2,2011,1,0,1.51,1,5,2
0,11101,6,2,2011,1,1,1.51,1,5,3
4,11101,7,2,2011,1,0,1.51,1,5,4
1,11101,1,1,2011,0,0,1.56,1,4,29
2,11101,2,1,2011,0,0,1.56,1,4,30
